            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,,Median age of earners (years),,,,,,,Sum ($),,,,,,,Median ($),,,,,,,Mean ($),,,,,,,,,,,,,
25060,Moonee Valley," 62,659 "," 63,477 "," 65,165 "," 67,621 "," 69,124 "," 71,940 "," 74,119 ", 41 , 42 , 42 , 42 , 42 , 41 , 41 ," 3,840,000,000 "," 4,040,000,000 "," 4,250,000,000 "," 4,530,000,000 "," 4,790,000,000 "," 5,092,683,891 "," 5,447,065,852 "," 48,304 "," 49,892 "," 50,811 "," 52,289 "," 53,959 "," 54,730 "," 56,666 "," 61,271 "," 63,628 "," 65,234 "," 67,036 "," 69,316 "," 70,791 "," 73,491 ",,,,,,,
25150,Moorabool," 15,844 "," 16,152 "," 16,660 "," 17,314 "," 17,539 "," 18,609 "," 19,247 ", 44 , 44 , 44 , 44 , 44 , 44 , 44 ," 796,000,000 "," 850,000,000 "," 890,000,000 "," 961,000,000 "," 998,000,000 "," 1,089,938,234 "," 1,190,388,808 "," 43,641 "," 44,775 "," 45,869 "," 47,385 "," 48,582 "," 50,094 "," 51,953 "," 50,233 "," 52,610 "," 53,399 "," 55,481 "," 56,903 "," 58,570 "," 61,848 ",,,,,,,
25250,Moreland," 80,683 "," 83,007 "," 85,607 "," 89,403 "," 92,396 "," 98,731 "," 102,635 ", 37 , 37 , 37 , 37 , 37 , 36 , 36 ," 4,170,000,000 "," 4,460,000,000 "," 4,680,000,000 "," 5,060,000,000 "," 5,410,000,000 "," 5,910,545,787 "," 6,406,247,194 "," 43,557 "," 45,223 "," 45,834 "," 47,327 "," 49,012 "," 50,025 "," 51,883 "," 51,666 "," 53,748 "," 54,614 "," 56,582 "," 58,512 "," 59,865 "," 62,418 ",,,,,,,
25340,Mornington Peninsula," 81,438 "," 82,168 "," 84,399 "," 87,338 "," 88,691 "," 91,571 "," 93,977 ", 47 , 47 , 47 , 47 , 48 , 48 , 48 ," 4,200,000,000 "," 4,380,000,000 "," 4,660,000,000 "," 4,970,000,000 "," 5,250,000,000 "," 5,551,123,810 "," 5,855,075,189 "," 38,347 "," 39,518 "," 40,529 "," 42,104 "," 43,223 "," 44,455 "," 45,701 "," 51,518 "," 53,281 "," 55,238 "," 56,915 "," 59,164 "," 60,621 "," 62,303 ",,,,,,,
25430,Mount Alexander," 9,326 "," 9,336 "," 9,569 "," 9,707 "," 9,649 "," 9,981 "," 10,112 ", 49 , 49 , 50 , 50 , 50 , 50 , 50 ," 390,000,000 "," 405,000,000 "," 416,000,000 "," 435,000,000 "," 444,000,000 "," 480,343,090 "," 510,813,083 "," 35,020 "," 35,878 "," 36,936 "," 37,342 "," 38,383 "," 39,478 "," 41,890 "," 41,791 "," 43,430 "," 43,457 "," 44,834 "," 45,996 "," 48,126 "," 50,516 ",,,,,,,
25490,Moyne," 9,477 "," 9,435 "," 9,541 "," 9,818 "," 9,652 "," 9,888 "," 10,000 ", 46 , 46 , 46 , 46 , 47 , 47 , 47 ," 415,000,000 "," 384,000,000 "," 443,000,000 "," 477,000,000 "," 472,000,000 "," 501,186,816 "," 515,395,978 "," 36,826 "," 34,911 "," 38,614 "," 40,288 "," 41,085 "," 41,985 "," 43,405 "," 43,747 "," 40,660 "," 46,476 "," 48,581 "," 48,930 "," 50,686 "," 51,540 ",,,,,,,
25620,Murrindindi," 7,267 "," 7,353 "," 7,441 "," 7,600 "," 7,733 "," 7,933 "," 8,097 ", 48 , 48 , 48 , 48 , 49 , 49 , 49 ," 300,000,000 "," 311,000,000 "," 318,000,000 "," 342,000,000 "," 359,000,000 "," 381,320,978 "," 396,279,428 "," 34,647 "," 35,315 "," 35,895 "," 37,269 "," 37,674 "," 39,257 "," 40,116 "," 41,317 "," 42,323 "," 42,790 "," 44,945 "," 46,452 "," 48,068 "," 48,942 ",,,,,,,
25710,Nillumbik," 37,818 "," 37,815 "," 38,102 "," 38,832 "," 39,096 "," 39,766 "," 40,468 ", 45 , 45 , 46 , 46 , 46 , 46 , 46 ," 2,330,000,000 "," 2,410,000,000 "," 2,470,000,000 "," 2,570,000,000 "," 2,670,000,000 "," 2,796,268,022 "," 2,933,926,776 "," 46,925 "," 48,285 "," 49,437 "," 50,750 "," 52,439 "," 53,764 "," 55,611 "," 61,607 "," 63,696 "," 64,772 "," 66,142 "," 68,328 "," 70,318 "," 72,500 ",,,,,,,
25810,Northern Grampians," 6,382 "," 6,273 "," 6,263 "," 6,294 "," 6,132 "," 6,275 "," 6,431 ", 47 , 48 , 48 , 48 , 48 , 48 , 48 ," 270,000,000 "," 269,000,000 "," 276,000,000 "," 278,000,000 "," 266,000,000 "," 290,097,067 "," 310,958,962 "," 36,617 "," 36,896 "," 37,948 "," 37,539 "," 37,933 "," 39,193 "," 42,116 "," 42,365 "," 42,829 "," 44,072 "," 44,123 "," 43,456 "," 46,231 "," 48,353 ",,,,,,,
25900,Port Phillip," 61,011 "," 63,418 "," 65,632 "," 68,392 "," 68,478 "," 72,690 "," 74,695 ", 36 , 37 , 37 , 37 , 37 , 37 , 37 ," 4,800,000,000 "," 5,090,000,000 "," 5,430,000,000 "," 5,740,000,000 "," 5,920,000,000 "," 6,274,920,921 "," 6,740,046,796 "," 55,255 "," 57,033 "," 57,470 "," 58,898 "," 60,274 "," 60,039 "," 62,315 "," 78,625 "," 80,212 "," 82,723 "," 83,954 "," 86,399 "," 86,324 "," 90,234 ",,,,,,,
25990,Pyrenees," 3,374 "," 3,365 "," 3,389 "," 3,416 "," 3,406 "," 3,569 "," 3,620 ", 49 , 49 , 49 , 50 , 50 , 50 , 49 ," 121,000,000 "," 122,000,000 "," 130,000,000 "," 140,000,000 "," 151,000,000 "," 155,068,064 "," 167,001,850 "," 30,453 "," 31,370 "," 32,497 "," 35,325 "," 35,452 "," 36,617 "," 38,503 "," 35,901 "," 36,188 "," 38,212 "," 40,976 "," 44,444 "," 43,449 "," 46,133 ",,,,,,,
26080,Queenscliffe," 1,939 "," 1,889 "," 1,914 "," 1,898 "," 1,867 "," 1,928 "," 1,990 ", 56 , 57 , 58 , 58 , 59 , 59 , 59 ," 105,000,000 "," 109,000,000 "," 113,000,000 "," 108,000,000 "," 110,000,000 "," 113,367,619 "," 124,318,219 "," 34,768 "," 35,200 "," 36,757 "," 39,762 "," 40,086 "," 38,834 "," 39,498 "," 54,357 "," 57,701 "," 58,875 "," 57,144 "," 59,140 "," 58,801 "," 62,471 ",,,,,,,
26170,South Gippsland," 15,763 "," 15,521 "," 15,551 "," 15,749 "," 15,674 "," 16,212 "," 16,512 ", 48 , 48 , 48 , 49 , 49 , 49 , 49 ," 669,000,000 "," 636,000,000 "," 703,000,000 "," 732,000,000 "," 734,000,000 "," 764,412,084 "," 798,513,721 "," 34,952 "," 33,587 "," 36,052 "," 37,184 "," 36,585 "," 37,334 "," 39,315 "," 42,437 "," 40,966 "," 45,180 "," 46,452 "," 46,816 "," 47,151 "," 48,360 ",,,,,,,
26260,Southern Grampians," 9,613 "," 9,536 "," 9,470 "," 9,460 "," 9,585 "," 9,608 "," 9,550 ", 47 , 48 , 48 , 48 , 48 , 48 , 48 ," 427,000,000 "," 390,000,000 "," 409,000,000 "," 432,000,000 "," 446,000,000 "," 474,331,303 "," 500,022,476 "," 37,447 "," 35,183 "," 36,661 "," 38,689 "," 39,234 "," 41,393 "," 42,821 "," 44,443 "," 40,876 "," 43,157 "," 45,693 "," 46,544 "," 49,368 "," 52,358 ",,,,,,,
26350,Stonnington," 63,021 "," 64,777 "," 66,787 "," 69,428 "," 71,099 "," 74,512 "," 76,418 ", 39 , 39 , 39 , 38 , 38 , 38 , 38 ," 5,950,000,000 "," 6,190,000,000 "," 6,780,000,000 "," 7,230,000,000 "," 7,410,000,000 "," 7,825,670,887 "," 8,308,673,374 "," 55,009 "," 57,250 "," 58,433 "," 60,459 "," 60,483 "," 61,847 "," 64,514 "," 94,462 "," 95,625 "," 101,581 "," 104,170 "," 104,250 "," 105,026 "," 108,727 ",,,,,,,
26430,Strathbogie," 5,383 "," 5,353 "," 5,484 "," 5,632 "," 5,653 "," 5,863 "," 5,980 ", 50 , 51 , 51 , 51 , 51 , 51 , 51 ," 212,000,000 "," 215,000,000 "," 231,000,000 "," 247,000,000 "," 248,000,000 "," 271,231,863 "," 291,570,482 "," 33,889 "," 35,131 "," 36,045 "," 37,240 "," 37,823 "," 39,500 "," 41,407 "," 39,320 "," 40,192 "," 42,183 "," 43,882 "," 43,854 "," 46,262 "," 48,758 ",,,,,,,
26490,Surf Coast," 16,383 "," 16,805 "," 17,361 "," 18,128 "," 18,325 "," 19,460 "," 20,093 ", 45 , 45 , 45 , 46 , 46 , 46 , 46 ," 867,000,000 "," 908,000,000 "," 975,000,000 "," 1,060,000,000 "," 1,090,000,000 "," 1,191,797,629 "," 1,293,284,909 "," 39,374 "," 39,874 "," 41,345 "," 42,988 "," 44,866 "," 46,109 "," 48,467 "," 52,925 "," 54,033 "," 56,137 "," 58,605 "," 59,670 "," 61,243 "," 64,365 ",,,,,,,
26610,Swan Hill," 11,463 "," 11,339 "," 11,444 "," 11,474 "," 11,248 "," 11,619 "," 11,730 ", 43 , 44 , 44 , 44 , 44 , 44 , 44 ," 493,000,000 "," 511,000,000 "," 523,000,000 "," 529,000,000 "," 532,000,000 "," 583,945,124 "," 623,050,480 "," 36,386 "," 37,859 "," 38,874 "," 40,180 "," 40,592 "," 42,046 "," 45,151 "," 43,000 "," 45,067 "," 45,717 "," 46,141 "," 47,292 "," 50,258 "," 53,116 ",,,,,,,
26670,Towong," 3,423 "," 3,456 "," 3,499 "," 3,533 "," 3,502 "," 3,569 "," 3,661 ", 50 , 50 , 50 , 51 , 51 , 52 , 52 ," 146,000,000 "," 143,000,000 "," 155,000,000 "," 164,000,000 "," 169,000,000 "," 169,680,134 "," 172,783,418 "," 36,272 "," 34,232 "," 37,417 "," 39,516 "," 39,569 "," 39,379 "," 39,341 "," 42,774 "," 41,415 "," 44,236 "," 46,529 "," 48,237 "," 47,543 "," 47,196 ",,,,,,,
26700,Wangaratta," 15,672 "," 15,693 "," 15,845 "," 16,002 "," 15,937 "," 16,182 "," 16,474 ", 46 , 47 , 47 , 47 , 47 , 47 , 47 ," 663,000,000 "," 690,000,000 "," 734,000,000 "," 766,000,000 "," 770,000,000 "," 803,631,011 "," 848,172,946 "," 36,462 "," 37,286 "," 39,255 "," 40,796 "," 41,643 "," 42,578 "," 43,804 "," 42,312 "," 43,978 "," 46,304 "," 47,859 "," 48,333 "," 49,662 "," 51,486 ",,,,,,,
26730,Warrnambool," 18,454 "," 18,438 "," 18,707 "," 19,397 "," 19,798 "," 20,087 "," 20,445 ", 43 , 43 , 44 , 43 , 43 , 43 , 43 ," 862,000,000 "," 879,000,000 "," 922,000,000 "," 981,000,000 "," 1,010,000,000 "," 1,054,384,707 "," 1,187,429,858 "," 39,554 "," 40,791 "," 41,638 "," 42,180 "," 43,111 "," 44,274 "," 46,605 "," 46,702 "," 47,698 "," 49,267 "," 50,559 "," 50,920 "," 52,491 "," 58,079 ",,,,,,,
26810,Wellington," 22,048 "," 21,904 "," 22,023 "," 22,643 "," 22,665 "," 22,885 "," 23,056 ", 46 , 46 , 46 , 46 , 46 , 46 , 47 ," 1,080,000,000 "," 1,080,000,000 "," 1,180,000,000 "," 1,250,000,000 "," 1,220,000,000 "," 1,208,093,089 "," 1,239,156,904 "," 38,222 "," 38,143 "," 40,681 "," 41,916 "," 41,724 "," 41,816 "," 43,267 "," 48,786 "," 49,516 "," 53,419 "," 55,236 "," 53,614 "," 52,790 "," 53,746 ",,,,,,,
26890,West Wimmera," 2,406 "," 2,384 "," 2,345 "," 2,369 "," 2,294 "," 2,357 "," 2,361 ", 49 , 50 , 50 , 50 , 50 , 51 , 51 ," 97,023,076 "," 101,000,000 "," 106,000,000 "," 103,000,000 "," 91,355,630 "," 114,352,076 "," 125,310,557 "," 35,345 "," 35,205 "," 36,351 "," 36,820 "," 35,140 "," 41,270 "," 43,252 "," 40,325 "," 42,467 "," 45,335 "," 43,504 "," 39,824 "," 48,516 "," 53,075 ",,,,,,,
26980,Whitehorse," 87,773 "," 88,699 "," 89,922 "," 92,299 "," 92,588 "," 97,054 "," 100,215 ", 43 , 44 , 44 , 44 , 44 , 43 , 43 ," 4,840,000,000 "," 5,050,000,000 "," 5,260,000,000 "," 5,490,000,000 "," 5,620,000,000 "," 5,926,218,121 "," 6,237,745,057 "," 41,926 "," 43,563 "," 44,484 "," 45,028 "," 45,726 "," 45,394 "," 46,165 "," 55,161 "," 56,919 "," 58,511 "," 59,529 "," 60,652 "," 61,061 "," 62,244 ",,,,,,,
27070,Whittlesea," 85,106 "," 88,690 "," 92,605 "," 97,782 "," 102,180 "," 109,101 "," 113,717 ", 38 , 39 , 39 , 39 , 39 , 38 , 38 ," 4,010,000,000 "," 4,340,000,000 "," 4,600,000,000 "," 4,960,000,000 "," 5,310,000,000 "," 5,802,834,511 "," 6,256,935,538 "," 42,263 "," 43,779 "," 44,609 "," 45,287 "," 46,482 "," 47,156 "," 48,592 "," 47,066 "," 48,945 "," 49,646 "," 50,768 "," 51,987 "," 53,188 "," 55,022 ",,,,,,,
27170,Wodonga," 20,083 "," 20,420 "," 20,763 "," 21,448 "," 21,530 "," 22,412 "," 23,169 ", 41 , 42 , 42 , 42 , 42 , 42 , 42 ," 941,000,000 "," 990,000,000 "," 1,050,000,000 "," 1,120,000,000 "," 1,140,000,000 "," 1,199,559,626 "," 1,266,517,794 "," 41,912 "," 43,881 "," 45,288 "," 46,643 "," 47,461 "," 48,356 "," 49,253 "," 46,834 "," 48,500 "," 50,598 "," 52,163 "," 52,837 "," 53,523 "," 54,664 ",,,,,,,
27260,Wyndham," 92,449 "," 97,264 "," 102,177 "," 109,021 "," 114,369 "," 125,625 "," 134,914 ", 37 , 37 , 38 , 37 , 37 , 37 , 37 ," 4,730,000,000 "," 5,150,000,000 "," 5,470,000,000 "," 5,930,000,000 "," 6,320,000,000 "," 7,058,541,438 "," 7,778,755,537 "," 45,856 "," 47,073 "," 47,607 "," 48,103 "," 48,741 "," 49,242 "," 50,282 "," 51,210 "," 52,959 "," 53,560 "," 54,413 "," 55,243 "," 56,187 "," 57,657 ",,,,,,,
27350,Yarra," 47,913 "," 49,705 "," 52,446 "," 55,238 "," 56,374 "," 60,867 "," 62,165 ", 35 , 35 , 35 , 35 , 35 , 35 , 35 ," 3,360,000,000 "," 3,590,000,000 "," 3,920,000,000 "," 4,220,000,000 "," 4,420,000,000 "," 4,927,266,814 "," 5,208,248,204 "," 52,812 "," 54,499 "," 55,750 "," 57,519 "," 59,284 "," 60,413 "," 63,503 "," 70,088 "," 72,223 "," 74,649 "," 76,355 "," 78,435 "," 80,951 "," 83,781 ",,,,,,,
27450,Yarra Ranges," 84,092 "," 83,969 "," 84,928 "," 87,236 "," 87,808 "," 90,448 "," 91,872 ", 44 , 44 , 44 , 44 , 44 , 44 , 44 ," 4,120,000,000 "," 4,270,000,000 "," 4,420,000,000 "," 4,670,000,000 "," 4,840,000,000 "," 5,092,093,975 "," 5,410,097,846 "," 41,213 "," 42,399 "," 43,546 "," 44,946 "," 46,383 "," 47,473 "," 49,136 "," 48,996 "," 50,799 "," 52,049 "," 53,526 "," 55,154 "," 56,299 "," 58,887 ",,,,,,,
27630,Yarriambiack," 3,835 "," 3,792 "," 3,770 "," 3,682 "," 3,453 "," 3,623 "," 3,624 ", 50 , 50 , 50 , 51 , 51 , 51 , 51 ," 177,000,000 "," 200,000,000 "," 201,000,000 "," 148,000,000 "," 133,000,000 "," 184,019,104 "," 210,661,274 "," 36,937 "," 40,182 "," 41,283 "," 34,838 "," 33,658 "," 40,701 "," 45,898 "," 46,159 "," 52,735 "," 53,316 "," 40,262 "," 38,391 "," 50,792 "," 58,129 ",,,,,,,
Queensland,," 2,448,420 "," 2,478,208 "," 2,516,080 "," 2,592,850 "," 2,623,526 "," 2,716,386 "," 2,798,990 ", 41 , 42 , 42 , 42 , 42 , 42 , 42 ," 131,261,448,492 "," 139,350,839,784 "," 144,655,443,514 "," 151,508,767,272 "," 154,933,955,865 "," 161,717,172,094 "," 170,231,414,179 "," 42,530 "," 44,366 "," 45,235 "," 46,052 "," 46,869 "," 47,425 "," 48,826 "," 53,611 "," 56,230 "," 57,492 "," 58,433 "," 59,056 "," 59,534 "," 60,819 ",,,,,,,
30250,Aurukun, 281 , 130 , 218 , 271 , 202 , 331 , 352 , 41 , 39 , 41 , 39 , 41 , 38 , 40 ," 7,838,542 "," 5,559,781 "," 6,864,676 "," 9,275,222 "," 8,027,665 "," 12,409,370 "," 13,503,847 "," 19,851 "," 34,774 "," 24,554 "," 25,864 "," 27,998 "," 27,359 "," 23,591 "," 27,895 "," 42,768 "," 31,489 "," 34,226 "," 39,741 "," 37,491 "," 38,363 ",,,,,,,
30300,Balonne," 2,706 "," 2,782 "," 2,689 "," 2,667 "," 2,529 "," 2,631 "," 2,609 ", 42 , 42 , 43 , 43 , 43 , 43 , 43 ," 130,000,000 "," 145,000,000 "," 116,000,000 "," 124,000,000 "," 139,000,000 "," 150,915,454 "," 126,229,757 "," 38,228 "," 40,166 "," 38,395 "," 39,330 "," 43,037 "," 46,674 "," 42,132 "," 47,969 "," 51,952 "," 43,274 "," 46,517 "," 54,963 "," 57,360 "," 48,382 ",,,,,,,
30370,Banana," 8,597 "," 8,733 "," 8,620 "," 8,584 "," 8,421 "," 8,118 "," 8,205 ", 42 , 42 , 43 , 43 , 43 , 43 , 44 ," 480,000,000 "," 499,000,000 "," 505,000,000 "," 517,000,000 "," 535,000,000 "," 529,591,572 "," 506,051,525 "," 44,094 "," 45,512 "," 45,740 "," 47,559 "," 48,993 "," 49,735 "," 49,898 "," 55,859 "," 57,145 "," 58,642 "," 60,280 "," 63,532 "," 65,237 "," 61,676 ",,,,,,,
30410,Barcaldine," 1,833 "," 1,805 "," 1,769 "," 1,756 "," 1,467 "," 1,732 "," 1,718 ", 44 , 44 , 45 , 46 , 46 , 46 , 46 ," 79,347,411 "," 78,867,429 "," 73,874,064 "," 84,387,382 "," 79,162,464 "," 104,302,286 "," 91,394,606 "," 38,068 "," 39,958 "," 39,688 "," 42,019 "," 44,922 "," 46,896 "," 45,003 "," 43,288 "," 43,694 "," 41,760 "," 48,057 "," 53,962 "," 60,221 "," 53,198 ",,,,,,,
30450,Barcoo, 185 , 178 , 174 , 160 , 169 , 173 , 169 , 44 , 46 , 47 , 48 , 46 , 44 , 45 ," 7,407,744 "," 7,397,807 "," 5,515,333 "," 8,386,206 "," 8,388,501 "," 9,890,979 "," 10,336,516 "," 40,405 "," 42,866 "," 39,033 "," 42,368 "," 45,006 "," 48,989 "," 49,068 "," 40,042 "," 41,561 "," 31,697 "," 52,414 "," 49,636 "," 57,173 "," 61,163 ",,,,,,,
30760,Blackall-Tambo," 1,157 "," 1,173 "," 1,149 "," 1,072 ", 976 ," 1,041 "," 1,051 ", 44 , 44 , 45 , 47 , 47 , 47 , 46 ," 49,248,922 "," 47,949,151 "," 47,072,792 "," 50,985,725 "," 46,722,552 "," 56,708,879 "," 53,380,247 "," 37,292 "," 37,480 "," 37,976 "," 40,879 "," 41,704 "," 42,501 "," 42,585 "," 42,566 "," 40,877 "," 40,968 "," 47,561 "," 47,871 "," 54,475 "," 50,790 ",,,,,,,
30900,Boulia, 206 , 187 , 195 , 208 , 138 , 208 , 206 , 40 , 40 , 41 , 42 , 41 , 42 , 41 ," 11,535,612 "," 10,336,890 "," 9,969,210 "," 10,786,577 "," 7,275,247 "," 11,015,105 "," 11,809,356 "," 49,505 "," 46,264 "," 45,168 "," 45,264 "," 47,844 "," 46,686 "," 51,576 "," 55,998 "," 55,277 "," 51,124 "," 51,859 "," 52,719 "," 52,957 "," 57,327 ",,,,,,,
31000,Brisbane," 635,354 "," 644,543 "," 654,995 "," 677,764 "," 694,102 "," 718,221 "," 741,548 ", 39 , 40 , 40 , 40 , 39 , 39 , 39 ," 39,700,000,000 "," 42,100,000,000 "," 43,800,000,000 "," 46,100,000,000 "," 47,600,000,000 "," 49,573,573,471 "," 52,320,922,949 "," 47,187 "," 49,095 "," 50,120 "," 51,086 "," 51,708 "," 52,145 "," 53,602 "," 62,534 "," 65,246 "," 66,884 "," 68,058 "," 68,622 "," 69,023 "," 70,556 ",,,,,,,
31750,Bulloo, 146 , 168 , 168 , 169 , 151 , 157 , 179 , 42 , 41 , 41 , 43 , 40 , 44 , 43 ," 7,590,457 "," 9,009,026 "," 9,614,096 "," 9,844,605 "," 8,619,461 "," 10,015,741 "," 11,817,875 "," 51,801 "," 51,531 "," 56,946 "," 55,088 "," 61,568 "," 60,467 "," 60,410 "," 51,989 "," 53,625 "," 57,227 "," 58,252 "," 57,083 "," 63,795 "," 66,022 ",,,,,,,
31820,Bundaberg," 44,227 "," 44,278 "," 44,473 "," 45,035 "," 44,748 "," 45,821 "," 46,716 ", 45 , 45 , 45 , 45 , 45 , 46 , 46 ," 1,950,000,000 "," 2,050,000,000 "," 2,070,000,000 "," 2,140,000,000 "," 2,150,000,000 "," 2,229,741,174 "," 2,332,451,795 "," 35,649 "," 37,641 "," 37,991 "," 38,270 "," 38,891 "," 39,699 "," 40,983 "," 44,050 "," 46,218 "," 46,634 "," 47,577 "," 48,083 "," 48,662 "," 49,928 ",,,,,,,
31900,Burdekin," 9,999 "," 9,994 "," 10,039 "," 10,053 "," 9,957 "," 9,965 "," 9,813 ", 44 , 44 , 44 , 45 , 45 , 45 , 46 ," 542,000,000 "," 514,000,000 "," 501,000,000 "," 526,000,000 "," 526,000,000 "," 559,050,397 "," 542,650,966 "," 44,024 "," 43,677 "," 41,924 "," 43,238 "," 44,127 "," 46,811 "," 47,772 "," 54,160 "," 51,401 "," 49,892 "," 52,291 "," 52,833 "," 56,101 "," 55,299 ",,,,,,,
31950,Burke, 153 , 147 , 158 , 169 , 128 , 164 , 185 , 39 , 40 , 39 , 39 , 43 , 38 , 39 ," 7,499,109 "," 7,567,771 "," 7,931,869 "," 8,142,602 "," 5,949,288 "," 8,160,459 "," 10,245,933 "," 43,089 "," 48,406 "," 41,600 "," 41,621 "," 39,551 "," 43,864 "," 48,420 "," 49,014 "," 51,481 "," 50,202 "," 48,181 "," 46,479 "," 49,759 "," 55,383 ",,,,,,,
32080,Cairns," 84,170 "," 85,672 "," 86,993 "," 89,151 "," 90,054 "," 92,573 "," 93,712 ", 41 , 41 , 42 , 42 , 42 , 42 , 42 ," 4,280,000,000 "," 4,560,000,000 "," 4,710,000,000 "," 4,900,000,000 "," 5,030,000,000 "," 5,215,191,965 "," 5,455,134,609 "," 42,394 "," 43,714 "," 44,387 "," 45,155 "," 46,190 "," 46,772 "," 48,546 "," 50,814 "," 53,215 "," 54,088 "," 54,959 "," 55,843 "," 56,336 "," 58,212 ",,,,,,,
32250,Carpentaria, 901 , 920 , 944 , 945 , 969 , 990 ," 1,027 ", 43 , 43 , 42 , 42 , 42 , 42 , 42 ," 43,388,549 "," 45,961,244 "," 48,261,705 "," 48,814,378 "," 50,922,696 "," 50,981,529 "," 53,143,440 "," 41,500 "," 44,034 "," 43,628 "," 43,378 "," 44,801 "," 44,545 "," 46,527 "," 48,156 "," 49,958 "," 51,125 "," 51,655 "," 52,552 "," 51,496 "," 51,746 ",,,,,,,
32260,Cassowary Coast," 16,031 "," 16,115 "," 16,079 "," 16,316 "," 15,907 "," 16,199 "," 15,952 ", 44 , 44 , 45 , 45 , 45 , 46 , 46 ," 659,000,000 "," 687,000,000 "," 702,000,000 "," 735,000,000 "," 721,000,000 "," 755,014,934 "," 764,847,837 "," 34,729 "," 35,151 "," 36,374 "," 37,560 "," 38,181 "," 38,950 "," 40,593 "," 41,110 "," 42,612 "," 43,681 "," 45,046 "," 45,307 "," 46,609 "," 47,947 ",,,,,,,
32270,Central Highlands," 16,795 "," 16,661 "," 16,081 "," 15,829 "," 14,828 "," 15,422 "," 15,877 ", 37 , 38 , 39 , 39 , 39 , 39 , 39 ," 1,130,000,000 "," 1,200,000,000 "," 1,130,000,000 "," 1,160,000,000 "," 1,080,000,000 "," 1,154,598,653 "," 1,182,299,587 "," 54,232 "," 56,777 "," 54,868 "," 55,665 "," 55,371 "," 56,673 "," 58,694 "," 67,551 "," 71,800 "," 69,988 "," 73,559 "," 72,718 "," 74,867 "," 74,466 ",,,,,,,
32310,Charters Towers," 5,856 "," 5,811 "," 5,736 "," 5,734 "," 5,344 "," 5,489 "," 5,646 ", 43 , 43 , 43 , 44 , 44 , 44 , 44 ," 296,000,000 "," 298,000,000 "," 283,000,000 "," 301,000,000 "," 280,000,000 "," 305,012,987 "," 313,693,452 "," 41,999 "," 42,574 "," 41,608 "," 42,954 "," 43,194 "," 45,441 "," 47,434 "," 50,584 "," 51,200 "," 49,334 "," 52,427 "," 52,304 "," 55,568 "," 55,560 ",,,,,,,
32330,Cherbourg, 229 , 192 , 183 , 180 , 165 , 172 , 222 , 39 , 41 , 40 , 41 , 42 , 40 , 39 ," 7,466,723 "," 7,283,399 "," 6,943,511 "," 6,966,072 "," 6,362,472 "," 6,461,998 "," 8,334,512 "," 28,174 "," 35,845 "," 36,467 "," 37,380 "," 37,755 "," 37,780 "," 34,938 "," 32,606 "," 37,934 "," 37,943 "," 38,700 "," 38,560 "," 37,570 "," 37,543 ",,,,,,,
32450,Cloncurry," 1,580 "," 1,616 "," 1,632 "," 1,671 "," 1,597 "," 1,601 "," 1,604 ", 39 , 39 , 39 , 39 , 39 , 39 , 38 ," 103,000,000 "," 110,000,000 "," 107,000,000 "," 113,000,000 "," 112,000,000 "," 116,088,137 "," 118,647,491 "," 53,665 "," 57,016 "," 56,963 "," 56,973 "," 59,778 "," 60,951 "," 61,057 "," 65,494 "," 68,146 "," 65,288 "," 67,872 "," 70,020 "," 72,510 "," 73,970 ",,,,,,,
32500,Cook," 1,683 "," 1,755 "," 1,895 "," 1,962 "," 2,016 "," 2,237 "," 2,175 ", 44 , 45 , 44 , 44 , 44 , 44 , 44 ," 69,764,450 "," 77,735,470 "," 82,675,307 "," 94,806,825 "," 94,340,805 "," 127,701,749 "," 108,139,609 "," 33,696 "," 34,479 "," 35,153 "," 37,741 "," 37,862 "," 39,328 "," 41,905 "," 41,452 "," 44,294 "," 43,628 "," 48,322 "," 46,796 "," 57,086 "," 49,719 ",,,,,,,
32600,Croydon, 145 , 147 , 148 , 129 , 138 , 141 , 132 , 41 , 42 , 43 , 43 , 40 , 40 , 42 ," 4,253,013 "," 5,235,245 "," 4,741,442 "," 6,510,568 "," 5,947,659 "," 5,762,574 "," 6,145,877 "," 25,931 "," 30,590 "," 33,310 "," 38,354 "," 36,327 "," 36,297 "," 38,553 "," 29,331 "," 35,614 "," 32,037 "," 50,470 "," 43,099 "," 40,869 "," 46,560 ",,,,,,,
32750,Diamantina, 142 , 163 , 159 , 155 , 112 , 148 , 161 , 33 , 38 , 38 , 39 , 39 , 39 , 40 ," 7,597,106 "," 9,193,710 "," 8,757,731 "," 8,962,687 "," 7,442,186 "," 9,282,024 "," 10,529,985 "," 46,700 "," 48,545 "," 46,346 "," 50,347 "," 55,041 "," 50,540 "," 57,695 "," 53,501 "," 56,403 "," 55,080 "," 57,824 "," 66,448 "," 62,716 "," 65,404 ",,,,,,,
